Name,XPos,YPos,ZPos
1024,788,627,516
1025,437,662,546
1026,437,590,662
1027,316,313,315
1028,669,642,313
1029,579,671,563
1030,563,374,579
1031,635,563,671
1032,375,671,630
1033,671,579,630
1034,630,579,377
1035,675,513,545
1036,513,558,336
1037,580,563,635
1038,620,608,160
1039,646,620,676
1040,677,577,580
1041,677,653,577
1042,653,321,577
1043,136,556,258
1044,491,682,498
1045,672,682,487
1046,677,580,635
1047,160,684,676
1048,676,620,160
1049,659,676,684
1050,511,685,147
1051,147,509,511
1052,685,447,147
1053,447,592,147
1054,447,685,553
1055,447,553,559
1056,685,511,146
1057,685,146,553
1058,485,496,656
1059,687,558,675
1060,558,513,675
1061,558,687,630
1062,558,630,377
1063,204,688,160
1064,204,160,608
1065,204,208,136
1066,688,204,690
1067,372,693,506
1068,629,697,643
1069,643,536,629
1070,619,643,697
1071,695,697,680
1072,566,699,652
1073,652,647,566
1074,677,318,653
1075,700,318,677
1076,256,89,670
1077,506,693,698
1078,684,703,659
1079,734,703,622
1080,594,509,619
1081,594,695,626
1082,594,626,566
1083,318,705,645
1084,645,591,318
1085,673,318,700
1086,626,699,566
1087,706,603,699
1088,596,490,503
1089,256,670,503
1090,503,500,256
1091,493,660,485
1092,688,690,205
1093,688,711,684
1094,688,684,160
1095,711,622,684
1096,684,622,703
1097,626,695,706
1098,706,699,626
1099,712,644,694
1100,659,703,702
1101,665,710,545
1102,646,715,629
1103,629,199,646
1104,715,680,697
1105,697,629,715
1106,680,715,659
1107,680,659,702
1108,715,646,676
1109,715,676,659
1110,491,487,682
1111,584,717,562
1112,717,515,562
1113,717,507,515
1114,507,609,515
1115,507,717,527
1116,507,527,88
1117,717,584,527
1118,527,584,638
1119,607,719,642
1120,607,642,669
1121,645,669,591
1122,645,607,669
1123,316,602,669
1124,669,313,316
1125,761,722,378
1126,722,692,378
1127,610,723,601
1128,723,631,93
1129,631,723,267
1130,723,610,267
1131,267,610,261
1132,607,645,705
1133,705,318,673
1134,605,264,637
1135,605,638,264
1136,264,562,85
1137,724,350,716
1138,198,518,486
1139,710,675,545
1140,691,205,93
1141,485,686,628
1142,662,649,624
1143,662,590,649
1144,727,634,662
1145,597,114,634
1146,597,625,600
1147,625,727,545
1148,625,545,513
1149,545,624,665
1150,486,518,654
1151,701,490,596
1152,624,727,662
1153,624,545,727
1154,597,634,727
1155,727,625,597
1156,637,264,718
1157,635,730,677
1158,730,700,677
1159,730,693,700
1160,693,372,700
1161,693,730,698
1162,730,635,375
1163,375,635,671
1164,122,731,238
1165,731,229,238
1166,731,230,229
1167,230,228,229
1168,230,731,231
1169,230,231,226
1170,731,122,231
1171,231,122,232
1172,680,702,732
1173,500,714,501
1174,619,695,594
1175,619,697,695
1176,732,706,695
1177,695,680,732
1178,734,639,663
1179,205,711,688
1180,633,737,692
1181,654,494,738
1182,738,797,654
1183,710,726,675
1184,655,737,633
1185,687,675,726
1186,687,739,375
1187,687,375,630
1188,739,730,375
1189,735,504,616
1190,761,505,722
1191,663,743,734
1192,743,732,734
1193,603,706,732
1194,667,663,696
1195,744,705,673
1196,744,719,705
1197,719,607,705
1198,631,267,637
1199,691,637,729
1200,729,637,718
1201,692,745,633
1202,745,721,689
1203,745,692,722
1204,745,722,683
1205,737,378,692
1206,754,434,378
1207,490,746,533
1208,533,503,490
1209,714,533,746
1210,746,490,678
1211,85,747,718
1212,718,264,85
1213,747,641,718
1214,641,729,718
1215,641,747,744
1216,744,747,719
1217,747,85,719
1218,719,85,642
1219,666,748,644
1220,748,672,644
1221,672,748,682
1222,682,748,495
1223,748,666,495
1224,502,655,725
1225,741,750,628
1226,493,751,707
1227,725,628,750
1228,751,493,628
1229,628,493,485
1230,774,752,712
1231,702,703,734
1232,734,732,702
1233,726,739,687
1234,739,698,730
1235,755,621,506
1236,498,755,491
1237,755,716,491
1238,504,756,501
1239,656,757,686
1240,686,485,656
1241,757,656,481
1242,776,726,710
1243,674,728,749
1244,758,755,704
1245,755,506,704
1246,755,758,716
1247,716,758,724
1248,758,742,724
1249,724,742,502
1250,737,754,378
1251,737,742,754
1252,372,506,621
1253,505,759,683
1254,683,722,505
1255,759,505,740
1256,736,711,205
1257,760,716,350
1258,716,760,487
1259,716,487,491
1260,649,762,665
1261,665,624,649
1262,679,668,696
1263,506,698,704
1264,631,637,691
1265,691,93,631
1266,136,763,204
1267,763,690,204
1268,763,93,690
1269,93,205,690
1270,93,763,723
1271,723,763,601
1272,763,136,601
1273,601,136,258
1274,542,764,438
1275,438,573,542
1276,764,437,546
1277,546,438,764
1278,437,764,435
1279,437,435,590
1280,764,542,595
1281,764,595,435
1282,725,766,751
1283,751,628,725
1284,766,689,707
1285,707,751,766
1286,689,766,633
1287,689,633,745
1288,766,725,633
1289,633,725,655
1290,767,741,757
1291,534,768,508
1292,508,627,534
1293,768,431,615
1294,615,508,768
1295,431,768,523
1296,431,523,587
1297,768,534,636
1298,768,636,523
1299,769,665,762
1300,762,679,769
1301,665,769,710
1302,738,494,753
1303,738,770,510
1304,770,735,720
1305,481,198,757
1306,481,518,198
1307,771,522,709
1308,522,771,740
1309,740,771,499
1310,683,772,721
1311,721,745,683
1312,679,696,783
1313,648,681,498
1314,498,773,648
1315,773,670,648
1316,773,497,670
1317,497,503,670
1318,773,495,666
1319,756,504,492
1320,673,700,372
1321,673,681,744
1322,740,505,761
1323,761,378,434
1324,198,774,767
1325,198,767,757
1326,691,775,205
1327,775,736,205
1328,775,691,729
1329,641,744,89
1330,89,729,641
1331,694,774,712
1332,694,767,774
1333,486,752,774
1334,774,198,486
