Name,XPos,YPos,ZPos
59,-6.99979,10.3888,-0.000621441
60,-9.5037,7.7957,0.00264843
61,-12.4958,2.60083,-0.00316193
62,-11.9977,1.73319,-0.000232839
63,-11.4983,4.33487,-0.00280933
64,-12.4979,0.864827,-0.0006563
65,-8.9997,-8.65755,-0.00279039
66,-10.0013,-6.92876,-0.000967019
67,-11.0008,-5.1977,0.0023726
68,-12.0023,-3.464,0.00181851
69,-2.99658,12.1277,0.00260774
70,-0.999331,12.127,-0.00154593
71,-2.99939,-12.1268,0.00311931
72,-0.998116,-12.1266,0.0026153
73,0.996528,-12.1281,0.00170028
74,0.997554,12.1282,0.00215165
75,2.99457,12.1272,-0.00127496
76,2.99732,-12.1224,0.00160599
77,9.00464,-8.6615,-9.36003e-05
78,10.0016,-6.92926,-0.0031661
79,11.0005,-5.19924,0.000740927
80,11.997,-3.46678,0.00314245
81,11.9976,3.46613,0.00219222
82,11.0052,5.19576,-0.00129525
83,10.0033,6.92814,0.00191307
84,9.00339,8.65662,-0.0011343
85,4.40915,0.755799,-4.15258
86,7.48324,9.16912,-0.931909
87,6.67608,7.66488,-3.15887
88,7.81902,2.11758,-4.0625
89,1.96814,0.629912,-3.19729
90,10.0931,2.03209,-2.94021
91,11.5577,1.85346,-1.12896
92,10.9755,0.0668327,-2.18878
93,2.27558,3.39615,-4.22272
94,4.87083,5.61239,-4.34369
95,8.9947,3.99086,-3.31277
96,7.86163,5.94257,-3.35743
97,9.71376,5.6345,-1.87175
98,-1.45462,-0.0641688,1.40773
99,8.06199,-1.79468,-4.02093
100,5.88449,-5.91593,-4.0439
101,3.88709,-5.19675,-4.3129
102,11.561,-1.7794,-1.13333
103,10.0799,-1.83254,-2.97327
104,6.83122,-7.68845,-2.97813
105,7.39471,-9.08487,-1.13076
106,5.58982,-9.44583,-2.21994
107,-0.0948166,11.2654,-1.93244
108,-1.30096,9.8213,-3.45391
109,7.97804,-5.74033,-3.30383
110,9,-3.75103,-3.3395
111,9.7388,-5.52867,-1.87544
112,2.43802,-7.82209,-4.07994
113,-2.29068,-8.12121,-4.1194
114,-2.40817,-5.51679,-4.33027
115,4.25112,-10.9062,-1.13584
116,3.45527,-9.64513,-3.00401
117,0.960405,9.88429,-3.40557
118,5.32819,9.46538,-2.46131
119,-3.32775,-9.81337,-3.03308
120,-4.20181,-10.97,-1.14043
121,-5.47005,-9.58191,-2.28142
122,4.36889,10.9525,-0.992902
123,3.15686,9.71427,-3.16851
124,-1.05291,-9.86768,-3.33397
125,1.22813,-9.71642,-3.36415
126,0.0589007,-11.231,-1.88734
127,-8.25762,-2.17142,-4.24981
128,-2.66336,-2.30302,-4.13064
129,-5.94682,-6.1755,-4.1111
130,-11.6087,-1.8701,-1.14117
131,-10.2062,-2.07935,-3.08173
132,-3.49366,9.69224,-3.14897
133,-4.29341,10.9096,-1.21706
134,-6.76149,-7.87431,-3.07365
135,-7.35534,-9.17119,-1.15659
136,2.12752,5.11703,-4.42674
137,1.19257,7.03383,-4.43884
138,-8.01638,-5.99346,-3.39818
139,-9.15469,-4.09116,-3.40435
140,-9.77539,-5.70195,-1.91863
141,-8.31433,-0.22417,-4.33472
142,-8.80621,0.786943,-4.12579
143,-7.71857,0.658669,-4.45524
144,-6.08135,1.29221,-4.45772
145,-7.6745,2.32584,-4.37581
146,-5.49839,1.84199,-4.36635
147,-5.28725,3.36008,-4.40544
148,-4.44064,4.93712,-4.43374
149,-4.83173,6.05764,-4.39357
150,-3.89409,5.61074,-4.43212
151,-10.2629,-0.120218,-3.18497
152,-10.6376,0.867407,-2.74666
153,-9.78893,0.856623,-3.54497
154,-11.6274,-0.0530393,-1.22867
155,-11.8452,0.897691,-0.784235
156,-11.3117,0.888589,-1.79578
157,-10.9554,1.82496,-2.2081
158,-11.165,2.75427,-1.64881
159,-10.4839,2.80342,-2.56623
160,0.0541681,4.33479,-4.3177
161,-11.3546,3.60976,-0.91387
162,-10.9282,4.49183,-0.984074
163,-11.7809,2.61515,-0.695275
164,-2.4824,7.9908,-4.2101
165,-5.86655,7.90896,-3.58668
166,-6.24886,8.6776,-2.83106
167,-5.20058,8.78507,-3.27546
168,-7.86883,7.63224,-2.54879
169,-8.06854,8.29764,-1.64033
170,-7.2211,8.52561,-2.24833
171,-6.56883,9.2699,-1.90654
172,-6.68004,9.83865,-0.838149
173,-5.76342,10.2469,-1.01686
174,-9.42762,7.17635,-0.955777
175,-8.84966,8.03631,-0.904138
176,-9.81876,5.57082,-1.95584
177,-9.1411,3.83572,-3.49163
178,-8.18375,8.92003,-0.687819
179,-8.12404,5.89353,-3.44822
180,-6.49875,6.97642,-3.80619
181,-7.65072,5.01191,-4.00197
182,-7.09249,6.00812,-3.93967
183,-7.53939,6.86992,-3.33509
184,-8.48193,6.69233,-2.71217
185,-8.61326,2.85877,-3.99814
186,-8.15639,3.98498,-4.01384
187,-9.26045,1.84911,-3.80057
